AnonymousCustomerKey,DaysSinceLastPurchase,AverageDaysBetweenPurchases,SuccessfulOrderCount,AverageOrderValue,PurchaseFrequency,PurchaseIntervalStdDev,AverageIntervalChange
002bfb24-7f64-4c05-af08-7b298da26a2a,121,93.5,3,201.52,0.016042780748663103,,
003aaf10-81b2-42e6-ba97-2c40c6274de0,378,109.6,6,222.07,0.01090909090909091,,
003cd4dd-5ecc-4fac-a2ce-bd36c35a6fce,133,56.705882352941174,18,246.53,0.018537590113285273,57.26993616405814,-0.5625
0059c31f-40c1-42aa-81c4-2a77debb4479,87,59.1,11,458.53,0.018487394957983194,62.11718316572673,-0.6666666666666666
0060dffe-fa73-44b7-8728-41ba34eb8352,341,26.21212121212121,34,211.02,0.03854875283446712,25.35961057439267,-1.4375
0063976d-4a9e-4043-b751-fac69ae840b9,-10,42.92857142857143,15,323.86,0.02471169686985173,38.706915076317756,-8.076923076923077
0067f638-522f-4163-9b2a-60f77cbe4310,172,41.07142857142857,15,293.31,0.025728987993138937,39.79846206095887,3.230769230769231
00689ed3-25e5-491c-adae-d40f05917b41,395,13.375,9,203.67,0.08256880733944955,,
006d9c56-e1fd-4c9b-b039-211bd16740a1,234,70.0,4,228.27,0.01904761904761905,,
009a0df3-f89a-4367-9734-b1ae3ffd5ccd,362,10.72,26,217.65,0.09352517985611511,9.572181917758703,-0.5833333333333334
00b1fbee-e858-4394-81c5-eb54e27aac4d,71,140.5,3,161.57,0.010638297872340425,,
00c76804-8018-4146-b22c-a9c6cf56bd46,461,55.36842105263158,20,289.73,0.018885741265344664,46.07989502099803,-2.3333333333333335
00c9b050-6fac-48eb-9aee-db512eb6e63c,232,46.833333333333336,13,344.98,0.022887323943661973,59.882966668074296,-0.18181818181818182
00f55ec1-a59d-4646-8452-aee9c9d2e7be,141,51.523809523809526,22,263.94,0.020146520146520148,42.53424390725554,0.65
00ff4fe1-d625-4fc0-821a-92644da792a2,394,8.916666666666666,13,306.32,0.11403508771929824,6.444988656923981,-0.45454545454545453
0106b7cf-daff-4344-a0f4-e75dc074c6d0,389,153.33333333333334,7,255.49,0.007592190889370932,,
010ee57e-14a7-4843-975f-1a6c56c21617,418,61.73684210526316,20,241.42,0.01692047377326565,57.69155735004633,-2.5555555555555554
011b87d6-ec9d-48da-8a60-aa07e55a8349,137,59.95,21,275.86,0.0173841059602649,37.516978612496594,-1.4736842105263157
01329d94-8f9a-46a1-95f7-3a2983df467f,388,50.94736842105263,20,282.83,0.02047082906857728,54.1001886258886,-3.5
013d4fd2-ce95-43b7-8aaa-ecfdbcd7a314,444,55.61538461538461,14,296.71,0.019204389574759947,36.641366562803626,-7.916666666666667
01555450-598d-463f-ab23-ba7382787168,70,11.6,11,227.44,0.09090909090909091,6.866990283636315,2.0
015b1411-f9d8-4db9-9c4c-02307b18cebb,225,52.8,16,193.61,0.02,49.43567248744285,-3.357142857142857
015fcc37-d094-4800-9ee7-a62662dfab03,274,58.333333333333336,7,393.91,0.019886363636363636,,
01619283-8462-4543-8dfc-9daf2e7230b9,62,12.2,76,229.78,0.0794979079497908,15.875359114899638,-0.02702702702702703
017b7a1c-7102-4117-859c-a32cd5cebc3c,181,151.66666666666666,7,382.71,0.007675438596491228,,
01ab8564-447f-455a-8de4-97baf0e76ae3,287,,1,725.56,inf,,
01b29330-29a4-483a-a7c7-b7b8d4888254,336,20.942857142857143,36,238.73,0.047936085219707054,20.30639258538879,-1.5588235294117647
01b307a7-91d9-4d57-aaea-971b07f569c1,65,28.0,8,201.97,0.04,,
01b33827-c2f6-441e-83a3-97d1bfe11149,274,18.515151515151516,34,240.18,0.054313099041533544,16.6397889336847,0.15625
01b69245-54bf-48d8-95dd-d6c899066071,144,109.33333333333333,10,281.25,0.010111223458038422,118.3374412432515,-33.375
01c5f8ac-249e-44cc-9425-91a6f9312e8f,288,59.733333333333334,16,255.35,0.017738359201773836,65.2286819764201,-8.357142857142858
01cca8eb-a10e-4333-9e97-2ce3447c2b37,122,48.285714285714285,15,293.26,0.021929824561403508,38.071650206558544,-1.0769230769230769
01ce5e52-eb3f-4cd0-a3dc-2fd0dae40071,57,22.12121212121212,34,255.88,0.04533333333333334,17.336301464985215,-0.5625
01d6456d-e8dc-4570-9d97-c14972393316,226,55.22727272727273,23,229.68,0.018775510204081632,40.82941495467607,0.8095238095238095
01ed40a0-0c19-444b-82f7-0f5b0fb7422c,173,36.5,7,187.94,0.03139013452914798,,
01eeb52a-f423-4840-a013-5ab989474c37,366,27.0,8,263.93,0.041884816753926704,,
01f5c7c7-63be-461b-bdd9-b72959af18db,61,46.411764705882355,18,175.94,0.022556390977443608,35.261627202118405,-1.4375
01f9a23d-a4b1-48b3-81cc-9e19aa77ff8a,-2,16.555555555555557,10,252.08,0.06493506493506493,13.602491601827136,-1.625
01fe126b-6a48-4c3f-8462-4ce5102ac577,149,270.3333333333333,4,329.16,0.0049261083743842365,,
020968f1-52fa-496e-b483-8203c74abf2f,70,44.8,11,235.30,0.024336283185840708,42.46776555354792,1.8888888888888888
02179305-964b-4062-a5b1-2f17d3b1dbf9,250,221.33333333333334,4,173.30,0.006006006006006006,,
02187c89-fb2c-4823-a000-12a3cf6214c3,133,95.0,4,407.44,0.014035087719298246,,
0219273c-b8a4-47f5-b8f2-60e53bf1067f,112,46.333333333333336,22,239.38,0.022448979591836733,46.81061133261702,-6.05
0221abe9-a011-497e-ba59-5d1be4bd23c1,240,28.529411764705884,35,302.62,0.035496957403651115,22.299932455554245,1.0909090909090908
0224ef48-05eb-433a-9d73-19b80f1c67ce,38,,1,71.34,inf,,
02304199-c5f8-416b-b3c9-a9279c5696b2,386,149.71428571428572,8,213.85,0.007619047619047619,,
023afe85-645d-4020-b3d2-57c777e41f8c,182,108.16666666666667,7,170.78,0.010769230769230769,,
